Company,Plant name,Plant location,Plant cost (in US$ billions),Started production,Wafer size (mm),Process technology node (nm),Production capacity (Wafers/Month),Technology / products,Country_Clean
STMicroelectronics,,"France, Crolles",,2003,"200, 300","28, 55, 65",,"Foundry, SiGe BiCMOS, FD-SOI",nan
STMicroelectronics,"AG200, AG300","Italy, Agrate Brianza",,,"200, 300",,,"Foundry, MEMS",AG200
nLIGHT,,"United States, Washington, Vancouver",,2001,,,,Laser diodes,nan
Safran Sensing Technologies Switzerland (formerly Colibrys),,"Switzerland, Yverdon-les-Bains",,,150,,,"Foundry, MEMS",nan
Pure Wafer,,"United States, Arizona, Prescott[2]",,,,,,Foundry,nan
EM Microelectronic,,"Switzerland, La Tène, Neuchâtel",,1975,,"180, 110",,"Foundry, microcontrollers, ASIC, RFID, smart cards",nan
UMC – He Jian,Fab 8N,"China, Suzhou","0.750,[3] 1.2, +0.5","2003, May[3]",200,"4000–1000, 500, 350, 250, 180, 110",77000,Foundry,Fab 8N
UMC,Fab 6A,"Taiwan, Hsinchu",0.35[3],1989[3],150,450,31000,Foundry,Fab 6A
UMC,Fab 8AB,"Taiwan, Hsinchu",1[3],1995[3],200,250,"67,000[4]",Foundry,Fab 8AB
UMC,Fab 8C,"Taiwan, Hsinchu",1[3],1998[3],200,350–110,37000,Foundry,Fab 8C
UMC,Fab 8D,"Taiwan, Hsinchu",1.5[3],2000[3],200,90,31000,Foundry,Fab 8D
UMC,Fab 8E,"Taiwan, Hsinchu",0.96[3],1998[3],200,180,37000,Foundry,Fab 8E
UMC,Fab 8F,"Taiwan, Hsinchu",1.5[3],2000[3],200,150,40000,Foundry,Fab 8F
UMC,Fab 8S,"Taiwan, Hsinchu",0.8[3],2004[3],200,350–250,31000,Foundry,Fab 8S
UMC,Fab 12A,"Taiwan, Tainan","4.65, 4.1, 6.6, 7.3[3]","2001, 2010, 2014, 2017[3]",300,"28, 14","87,000[4]",Foundry,Fab 12A
UMC,Fab 12i,Singapore,3.7[3],2004[3],300,130–40,53000,Foundry,Fab 12i
UMC – United Semiconductor,Fab 12X,"China, Xiamen",6.2,2016,300,55–28,"19,000-25,000 (2021)",Foundry,Fab 12X
UMC – USJC (formerly MIFS) (formerly Fujitsu),Fab 12M (original Fujitsu installations)[5],"Japan, Mie Prefecture",,1974,"150, 200, 300[6]",90–40,33000,Foundry,Fab 12M (original Fujitsu installations)[5]
Texas Instruments,Miho,"Japan,  Ibaraki, Miho",,,200,"350, 250[7]","40,000[8]","Analog, DLP[9]",Miho
Texas Instruments (formerly Spansion),Aizu[10],"Japan,  Fukushima, Aizuwakamatsu",,,200,,,Analog,Aizu[10]
Texas Instruments (formerly National Semiconductor),MFAB[11],"United States,  Maine, South Portland",0.932,1997,200,"350, 250, 180",,Analog,MFAB[11]
Texas Instruments (formerly Micron) (formerly IM Flash),LFAB,"United States, Utah, Lehi","1.3[12] (+ 3–4, future)[13]",,300,65–45,70000,"Analog, mixed signal, logic NAND FLASH (former), 3D XPoint (former)",LFAB
Texas Instruments,RFAB1[14],"United States,  Texas, Richardson",,2009,300,"250, 180","20,000[15]",Analog,RFAB1[14]
Texas Instruments,RFAB2,"United States,  Texas, Richardson",,2022,300,,,Analog,RFAB2
Texas Instruments,DMOS5,"United States,  Texas, Dallas",,1984,200,"250, 180",,"Analog, DLP",DMOS5
Texas Instruments,DMOS6,"United States,  Texas, Dallas",,2000,300,130–45,"22,000[16]","Logic, Analog",DMOS6
Texas Instruments,DFAB,"United States,  Texas, Dallas",,1966,"150, 200",,,"Mixed Signal, Analog",DFAB
Texas Instruments,SFAB,"United States,  Texas, Sherman",,1965,150,,,Analog,SFAB
Texas Instruments,FFAB,"Germany,  Bavaria, Freising",,,200,"1000, 180","37,500 (450,000 per year)[17]",Analog,FFAB
Texas Instruments (formerly SMIC – Cension),CFAB,"China, Chengdu",,,200,,"30,000[18]",Analog,CFAB
